                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.1131,                0.60563,                0.96135,                 1.3584,                0.74077,                0.96171,                0.89084,                0.85719,                0.93315,                0.48945,                 1.6107,                0.67063,                 1.2217,                 1.7071,                0.73225,                 1.1761,              0.0006768,              0.0006768,              0.0006768
                     63,                  1.117,                0.60615,                0.97716,                 1.3585,                0.75474,                0.97481,                0.93612,                0.87399,                0.94097,                0.50117,                 1.6032,                0.65111,                 1.2066,                 1.7003,                0.70058,                 1.1875,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.1338,                0.59212,                 0.9678,                 1.3456,                0.72321,                0.97392,                0.89428,                0.84738,                0.91797,                0.47972,                  1.653,                0.65724,                 1.2363,                 1.7175,                0.72416,                 1.1992,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.1144,                0.58121,                0.96345,                 1.3008,                 0.6754,                0.96288,                0.91201,                0.86532,                0.92989,                0.48651,                 1.6293,                 0.6513,                 1.2249,                 1.7082,                0.68784,                 1.1952,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1048,                0.59507,                0.96777,                 1.3141,                0.73287,                0.96718,                 0.8942,                0.83479,                0.91452,                0.50783,                 1.6152,                 0.6302,                 1.2037,                 1.6884,                0.71749,                 1.1695,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.0837,                0.57561,                0.95185,                 1.2986,                0.71833,                0.95238,                0.88955,                0.83735,                0.91791,                0.49307,                 1.6548,                0.65696,                 1.2318,                 1.7309,                0.74333,                 1.1971,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.1193,                0.59266,                0.97926,                 1.3292,                0.70789,                0.97814,                0.92723,                  0.853,                0.92769,                0.49908,                  1.606,                0.64539,                 1.1899,                 1.6911,                0.69347,                 1.1781,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1012,                0.59816,                0.96216,                 1.3211,                0.73758,                0.96489,                0.94032,                0.84899,                0.93612,                0.50307,                 1.6087,                0.63404,                 1.1965,                 1.6935,                0.67843,                 1.1675,             0.00056128,             0.00056128,             0.00056128
                     70,                  1.083,                0.58455,                0.95755,                 1.2804,                0.71821,                0.96312,                0.92532,                0.87065,                0.93825,                0.50604,                 1.5951,                0.62663,                 1.1918,                  1.692,                0.67413,                 1.1665,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.0759,                0.57402,                0.95174,                 1.2736,                0.69615,                0.95593,                0.94335,                 0.8164,                0.92445,                0.48645,                 1.6191,                0.63552,                 1.2007,                 1.6755,                0.74294,                 1.1688,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1022,                0.57822,                0.96095,                  1.317,                0.70274,                0.96721,                 0.9332,                0.86269,                0.93045,                0.49446,                 1.6114,                0.64426,                 1.2101,                 1.6832,                0.69988,                 1.1711,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1039,                0.58489,                0.95549,                 1.3183,                0.72182,                0.95995,                0.89345,                0.83728,                0.91656,                0.47916,                 1.6389,                0.65204,                  1.239,                 1.6975,                0.76492,                 1.2065,             0.00049527,             0.00049527,             0.00049527
